Name,Nationality,Current Rank,Previous Year Rank,Sport,earnings ($ million)
Mike Tyson,USA,1,,BOXING,28.6
Buster Douglas,USA,2,,BOXING,26.0
Sugar Ray Leonard,USA,3,,BOXING,13.0
Ayrton Senna,Brazil,4,,AUTO RACING,10.0
Alain Prost,France,5,,AUTO RACING,9.0
Jack Nicklaus,USA,6,,GOLF,8.6
Greg Norman,Australia,7,,GOLF,8.5
Michael Jordan,USA,8,,BASKETBALL,8.1
Arnold Palmer,USA,8,,GOLF,8.1
Evander Holyfield,USA,8,,BOXING,8.1
Evander Holyfield,USA,1,8,BOXING,60.5
Mike Tyson,USA,2,1,BOXING,31.5
Michael Jordan,USA,3,8,BASKETBALL,16.0
George Foreman,USA,4,15,BOXING,14.5
Ayrton Senna,Brazil,5,4,AUTO RACING,13.0
Alain Prost,France,6,5,AUTO RACING,11.0
"Donovan ""Razor"" Ruddock",Canada,7,15,BOXING,10.2
Arnold Palmer,USA,8,8,GOLF,9.3
Nigel Mansell,UK,9,12,AUTO RACING,9.0
Sugar Ray Leonard,USA,10,6,GOLF,8.5
Michael Jordan,USA,1,3,BASKETBALL,35.9
Evander Holyfield,USA,2,1,BOXING,28.0
Ayrton Senna,Brazil,3,5,AUTO RACING,22.0
Nigel Mansell,UK,4,9,AUTO RACING,14.5
Arnold Palmer,USA,5,8,GOLF,11.1
Andre Agassi,USA,6,17,TENNIS,11.0
Joe Montana,USA,7,13,AMERICAN FOOTBALL,9.5
Sugar Ray Leonard,USA,8,10,GOLF,9.2
Jim Courier,USA,9,15,TENNIS,9.0
Monica Seles,USA,10,12,TENNIS,8.5
Michael Jordan,USA,1,1,BASKETBALL,36.0
Riddick Bowe,USA,2,15,BOXING,25.0
Ayrton Senna,Brazil,3,3,AUTO RACING,18.5
Alain Prost,France,4,15,AUTO RACING,16.0
George Foreman,USA,5,19,BOXING,15.8
Shaquille O'Neal,USA,6,15,BASKETBALL,15.2
Lennox Lewis,USA,7,15,BOXING,15.0
Cecil Fielder,USA,8,40,BASEBALL,12.7
Jim Courier,USA,9,9,TENNIS,12.6
Joe Montana,USA,10,7,AMERICAN FOOTBALL,11.5
Michael Jordan,USA,1,1,BASKETBALL,30.0
Shaq O'Neal,USA,2,6,BASKETBALL,16.7
Jack Nicklaus,USA,3,13,GOLF,14.8
Arnold Palmer,USA,4,11,GOLF,13.6
Gerhard Berger,Austria,5,30,AUTO RACING,13.5
Wayne Gretzky,Canada,5,22,HOCKEY,13.5
